Theta_deg,G_rx_theta_dB,I_dBW,SNR_dB,SNR_Loss_dB
12.23108301273077,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
12.351129474887902,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
12.47084281319851,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
12.590204047695764,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
12.70919425423718,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
12.827794567504952,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
12.945986183996945,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.063750365007918,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.181068439600434,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.29792180756507,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.414291942369362,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.530160394095114,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.645508792363547,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.76031884924782,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.874572362172488,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
13.988251216799458,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.101337389899896,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.21381295221175,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.325660071282327,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.43686101429555,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.547398150883415,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.657253955921192,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.766411012305943,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.874852013717938,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
14.982559767364469,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.08951719670569,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.195707344162024,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.3011133738027,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.405718574015006,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.509506360153834,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.612460277171103,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.714564002224614,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.81580134726597,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
15.916156261607101,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.015612834465024,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.114155297484444,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.211768027237703,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.308435547701833,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.404142532712214,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.498873808392414,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.592614355559988,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.685349312107665,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.777063975359667,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.86774380440275,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
16.9573744223916,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
17.0459416188282,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
17.133431351814846,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
17.219829750280415,5.0,-127.51179973983886,-9.157976590509836,17.191680785244674
